Timestamp,File Path,Program Name,SHA-1 Hash,Timeline Entry Number,Entry Type,Timestamp Description,Raw Entry
,C:\WINDOWS\system32\UserAccountControlSettings.exe,,,10,ShimcacheFileEntry,,"{""cache_entry_position"":9,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\UserAccountControlSettings.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:58.237Z"",""path_size"":100,""signature"":""10ts""}"
,C:\Windows\System32\tasklist.exe,,,11,ShimcacheFileEntry,,"{""cache_entry_position"":10,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Windows\\System32\\tasklist.exe""}},""executed"":null,""last_modified_ts"":""2024-04-01T07:22:17.450Z"",""path_size"":64,""signature"":""10ts""}"
,C:\WINDOWS\system32\taskmgr.exe,,,12,ShimcacheFileEntry,,"{""cache_entry_position"":11,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\taskmgr.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:27.394Z"",""path_size"":62,""signature"":""10ts""}"
,C:\Program Files\WindowsApps\Microsoft.SecHealthUI_1000.29510.1001.0_x64__8wekyb3d8bbwe\Application,,,13,ShimcacheFileEntry,,"{""cache_entry_position"":12,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files\\WindowsApps\\Microsoft.SecHealthUI_1000.29510.1001.0_x64__8wekyb3d8bbwe\\Application""}},""executed"":null,""last_modified_ts"":""2026-04-07T23:29:37.215Z"",""path_size"":198,""signature"":""10ts""}"
,,Microsoft.SecHealthUI,,14,ShimcacheProgramEntry,,"{""cache_entry_position"":13,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t03e8734603e90000\t0000000000000000\t8664\tMicrosoft.SecHealthUI\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.SecHealthUI"",""program_version"":""1000.29510.1001.0"",""sdk_version"":""0.0.0.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":168,""signature"":""10ts""}"
,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.447.222.0.exe,,,15,ShimcacheFileEntry,,"{""cache_entry_position"":14,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\SoftwareDistribution\\Download\\Install\\AM_Delta_Patch_1.447.222.0.exe""}},""executed"":null,""last_modified_ts"":""2026-04-08T20:46:57.521Z"",""path_size"":158,""signature"":""10ts""}"
,C:\Windows\notepad.exe,,,16,ShimcacheFileEntry,,"{""cache_entry_position"":15,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""File"":{""path"":""C:\\Windows\\notepad.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:22.348Z"",""path_size"":44,""signature"":""10ts""}"
2026-04-03T23:44:59.389Z,C:\Windows\hh.exe,,,17,ShimcacheFileEntry,Shimcache pattern match,"{""cache_entry_position"":16,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""File"":{""path"":""C:\\Windows\\hh.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:59.389Z"",""path_size"":34,""signature"":""10ts""}"
,C:\Windows\HelpPane.exe,,,18,ShimcacheFileEntry,,"{""cache_entry_position"":17,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""File"":{""path"":""C:\\Windows\\HelpPane.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:59.013Z"",""path_size"":46,""signature"":""10ts""}"
,C:\Windows\bfsvc.exe,,,19,ShimcacheFileEntry,,"{""cache_entry_position"":18,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""File"":{""path"":""C:\\Windows\\bfsvc.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:35.312Z"",""path_size"":40,""signature"":""10ts""}"
